country,Country id,Date,CRISIS,CAB_Y,EXP_G,STED_R,FXR_G,REER,CRISIS_1
Vietnam,1,1996Q4 [YR1996Q4],0,-8.192243377,-0.034017852,56.51254494,0.311416071,-3.23927,0
Vietnam,1,1997Q1 [YR1997Q1],0,-7.567235218,0.017876134,0,0.154322258,-1.729341,0
Vietnam,1,1997Q2 [YR1997Q2],0,-6.942227059,-0.0508352,43.50093816,0.239375437,-3.785391,0
Vietnam,1,1997Q3 [YR1997Q3],0,-6.3172189,0.066104874,0,0.261656078,2.282539,0
Vietnam,1,1997Q4 [YR1997Q4],0,-5.692210742,0.000267118,49.90295849,0.14399261,7.228432,0
Vietnam,1,1998Q1 [YR1998Q1],0,-5.255942058,-0.033257707,0,0.029230203,3.159568,0
Vietnam,1,1998Q2 [YR1998Q2],0,-4.819673375,-0.051817229,41.88802289,-0.016152775,9.8947,0
Vietnam,1,1998Q3 [YR1998Q3],0,-4.383404691,-0.119354133,0,-0.089994256,2.371101,0
Vietnam,1,1998Q4 [YR1998Q4],0,-3.947136007,-0.137422817,35.90938855,0.008262277,-2.129359,0
Vietnam,1,1999Q1 [YR1999Q1],0,-1.934506593,-0.056651246,0,0.13975277,3.500796,0
Vietnam,1,1999Q2 [YR1999Q2],0,0.078122821,0.082003548,28.01416399,0.236807128,3.94465,0
Vietnam,1,1999Q3 [YR1999Q3],0,2.090752235,0.200214873,0,0.457655233,0.624072,0
Vietnam,1,1999Q4 [YR1999Q4],0,4.103381649,0.265634968,22.0074414,0.661195121,-0.696933,0
Vietnam,1,2000Q1 [YR2000Q1],0,3.964535473,0.277542615,19.74041398,0.670671619,0.521019,0
Vietnam,1,2000Q2 [YR2000Q2],0,3.825689296,0.287113758,19.70615395,0.47676106,0.768693,0
Vietnam,1,2000Q3 [YR2000Q3],0,3.68684312,0.21979312,19.88040798,0.244260256,3.208938,0
Vietnam,1,2000Q4 [YR2000Q4],0,3.547996943,0.132190598,26.2255843,0.027167595,2.777154,0
Vietnam,1,2001Q1 [YR2001Q1],0,3.18264055,0.103970546,25.94362399,-0.072757942,2.971524,0
Vietnam,1,2001Q2 [YR2001Q2],0,2.817284158,0.030689101,22.14161946,-0.028155365,4.47801,0
